Kong_Index,Kong_ROI_Name,Schaefer2018_Best_Match,Dice
177,17networks_RH_Language_IFG_1,17Networks_RH_DefaultB_PFCv_2,1.0
178,17networks_RH_Language_PFCd_1,17Networks_RH_DefaultB_PFCd_2,1.0
179,17networks_RH_Language_Temp_1,17Networks_RH_TempPar_4,1.0
180,17networks_RH_Language_Temp_2,17Networks_RH_TempPar_2,1.0
181,17networks_RH_Language_TempPole_1,17Networks_RH_LimbicA_TempPole_1,1.0
182,17networks_RH_ContA_Cingm_1,17Networks_RH_ContA_Cingm_1,1.0
183,17networks_RH_ContA_IPS_1,17Networks_RH_ContA_IPS_2,1.0
184,17networks_RH_ContA_IPS_2,17Networks_RH_ContB_IPL_2,1.0
185,17networks_RH_ContA_IPS_3,17Networks_RH_ContA_IPS_1,1.0
186,17networks_RH_ContA_OFC_1,17Networks_RH_ContB_PFClv_1,1.0
187,17networks_RH_ContA_PFCd_1,17Networks_RH_ContA_PFCd_1,1.0
188,17networks_RH_ContA_PFCl_1,17Networks_RH_ContA_PFCl_4,1.0
189,17networks_RH_ContA_PFCl_2,17Networks_RH_ContA_PFCl_2,1.0
190,17networks_RH_ContB_FPole_1,17Networks_RH_ContB_PFClv_4,1.0
191,17networks_RH_ContB_IFG_1,17Networks_RH_DefaultB_PFCv_3,1.0
192,17networks_RH_ContB_IPL_1,17Networks_RH_ContB_IPL_1,1.0
193,17networks_RH_ContB_IPL_2,17Networks_RH_DefaultA_IPL_2,1.0
194,17networks_RH_ContB_IPS_1,17Networks_RH_ContB_IPL_3,1.0
195,17networks_RH_ContB_OFC_1,17Networks_RH_ContB_PFClv_3,1.0
196,17networks_RH_ContB_OFC_2,17Networks_RH_LimbicB_OFC_4,1.0
197,17networks_RH_ContB_PCC_1,17Networks_RH_DefaultA_pCunPCC_2,1.0
198,17networks_RH_ContB_PFCd_1,17Networks_RH_ContB_PFCld_3,1.0
199,17networks_RH_ContB_PFCl_1,17Networks_RH_ContB_PFCld_2,1.0
200,17networks_RH_ContB_PFCmp_1,17Networks_RH_ContB_PFCmp_1,1.0
201,17networks_RH_ContB_Temp_1,17Networks_RH_ContB_Temp_1,1.0
202,17networks_RH_ContC_Cingp_1,17Networks_RH_ContC_Cingp_1,1.0
203,17networks_RH_ContC_FPole_1,17Networks_RH_ContB_PFClv_2,1.0
204,17networks_RH_ContC_Ins_1,17Networks_RH_SalVentAttnB_Ins_1,1.0
205,17networks_RH_ContC_OFC_1,17Networks_RH_LimbicB_OFC_1,1.0
206,17networks_RH_ContC_PFCl_1,17Networks_RH_ContB_PFCld_1,1.0
207,17networks_RH_ContC_PFCl_2,17Networks_RH_SalVentAttnB_PFClv_1,1.0
208,17networks_RH_ContC_PFCm_1,17Networks_RH_SalVentAttnB_PFCmp_1,1.0
209,17networks_RH_ContC_PFCm_2,17Networks_RH_DefaultA_PFCm_2,1.0
210,17networks_RH_ContC_PFCm_3,17Networks_RH_DefaultA_PFCm_5,1.0
211,17networks_RH_ContC_pCun_1,17Networks_RH_ContC_pCun_1,1.0
212,17networks_RH_SalVenAttnA_FrMed_1,17Networks_RH_SalVentAttnA_FrMed_2,1.0
213,17networks_RH_SalVenAttnA_FrMed_2,17Networks_RH_SalVentAttnB_PFCmp_2,1.0
214,17networks_RH_SalVenAttnA_FrMed_3,17Networks_RH_SalVentAttnA_FrMed_1,1.0
215,17networks_RH_SalVenAttnA_FrOper_1,17Networks_RH_SomMotB_S2_4,1.0
216,17networks_RH_SalVenAttnA_FrOper_2,17Networks_RH_SalVentAttnA_FrOper_1,1.0
217,17networks_RH_SalVenAttnA_IPL_1,17Networks_RH_SalVentAttnA_ParOper_1,1.0
218,17networks_RH_SalVenAttnA_IPL_2,17Networks_RH_SalVentAttnA_ParOper_2,1.0
219,17networks_RH_SalVenAttnA_IPL_3,17Networks_RH_SalVentAttnA_ParOper_3,1.0
220,17networks_RH_SalVenAttnA_Ins_1,17Networks_RH_SalVentAttnA_Ins_3,1.0
221,17networks_RH_SalVenAttnA_Ins_2,17Networks_RH_SalVentAttnA_Ins_1,1.0
222,17networks_RH_SalVenAttnA_SPL_1,17Networks_RH_SalVentAttnA_ParMed_1,1.0
223,17networks_RH_SalVenAttnA_SPL_2,17Networks_RH_SalVentAttnA_ParMed_3,1.0
224,17networks_RH_SalVenAttnA_TempPole_1,17Networks_RH_LimbicA_TempPole_6,1.0
225,17networks_RH_SalVenAttnB_IFG_1,17Networks_RH_ContA_PFCl_1,1.0
226,17networks_RH_SalVenAttnB_IPL_1,17Networks_RH_SalVentAttnA_ParOper_4,1.0
227,17networks_RH_SalVenAttnB_IPL_2,17Networks_RH_SalVentAttnB_IPL_1,1.0
228,17networks_RH_SalVenAttnB_Ins_1,17Networks_RH_SalVentAttnB_Ins_2,1.0
229,17networks_RH_SalVenAttnB_Ins_2,17Networks_RH_SalVentAttnA_Ins_2,1.0
230,17networks_RH_SalVenAttnB_OFC_1,17Networks_RH_LimbicB_OFC_2,1.0
231,17networks_RH_SalVenAttnB_PFCd_1,17Networks_RH_SalVentAttnA_FrMed_3,1.0
232,17networks_RH_SalVenAttnB_PFCl_1,17Networks_RH_SalVentAttnA_PrC_1,1.0
233,17networks_RH_SalVenAttnB_PFCl_2,17Networks_RH_SalVentAttnB_PFCl_1,1.0
234,17networks_RH_SalVenAttnB_PFCl_3,17Networks_RH_SalVentAttnB_PFCl_2,1.0
235,17networks_RH_SalVenAttnB_SPL_1,17Networks_RH_SalVentAttnA_ParMed_2,1.0
236,17networks_RH_SalVenAttnB_Temp_1,17Networks_RH_TempPar_5,1.0
237,17networks_RH_SalVenAttnB_TempOcc_1,17Networks_RH_LimbicA_TempPole_4,1.0
238,17networks_RH_DorsAttnA_IPS_1,17Networks_RH_ContA_IPS_3,1.0
239,17networks_RH_DorsAttnA_PrCv_1,17Networks_RH_ContA_PFCl_3,1.0
240,17networks_RH_DorsAttnA_SPL_1,17Networks_RH_DorsAttnA_SPL_2,1.0
241,17networks_RH_DorsAttnA_SPL_2,17Networks_RH_DorsAttnB_PostC_5,1.0
242,17networks_RH_DorsAttnA_TempOcc_1,17Networks_RH_ContA_Temp_1,1.0
243,17networks_RH_DorsAttnA_TempOcc_2,17Networks_RH_DorsAttnA_TempOcc_1,1.0
244,17networks_RH_DorsAttnA_TempPole_1,17Networks_RH_LimbicA_TempPole_3,1.0
245,17networks_RH_DorsAttnB_IPL_1,17Networks_RH_DorsAttnB_PostC_1,1.0
246,17networks_RH_DorsAttnB_IPL_2,17Networks_RH_DorsAttnB_PostC_2,1.0
247,17networks_RH_DorsAttnB_PostC_1,17Networks_RH_DorsAttnB_PostC_3,1.0
248,17networks_RH_DorsAttnB_PrCd_1,17Networks_RH_SomMotA_13,1.0
249,17networks_RH_DorsAttnB_PrCd_2,17Networks_RH_DorsAttnB_FEF_2,1.0
250,17networks_RH_DorsAttnB_SPL_1,17Networks_RH_DorsAttnB_PostC_4,1.0
